group_name,student_id,department_grade,name
1,114098001,資管一,王柏翰
1,114098002,資管一,李欣怡
1,114098003,資管一,陳冠宇
1,114098004,資管一,林怡君
1,114098005,資管一,黃俊傑
1,114098006,資管一,張雅婷
1,114098007,資管一,吳宗翰
1,114098008,資管一,劉佳穎
2,114098009,資管一,蔡明宏
2,114098010,資管一,許淑芬
2,114098011,資管一,鄭建志
2,114098012,資管一,謝宛如
2,114098013,資管一,洪子豪
2,114098014,資管一,楊雅雯
2,114098015,資管一,邱志偉
2,114098016,資管一,周美慧
3,114098017,資管一,林俊賢
3,114098018,資管一,陳詩涵
3,114098019,資管一,賴昱廷
3,114098020,資管一,江佩蓉
3,114098021,資管一,蘇建良
3,114098022,資管一,葉雅琪
3,114098023,資管一,何冠霖
3,114098024,資管一,朱怡婷
4,114098025,資管二,羅智傑
4,114098026,資管二,高凱瑜
4,114098027,資管二,施宗翰
4,114098028,資管二,簡玟婷
4,114098029,資管二,曾彥廷
4,114098030,資管二,莊雅玲
4,114098031,資管二,范俊宏
4,114098032,資管二,鄧欣儀
5,114098033,資管二,潘建志
5,114098034,資管二,盧美君
5,114098035,資管二,顏子豪
5,114098036,資管二,歐陽怡萱
5,114098037,資管二,方冠廷
5,114098038,資管二,石雅琳
5,114098039,資管二,唐俊傑
5,114098040,資管二,魏佳慧
6,114098041,資管二,馮建宏
6,114098042,資管二,彭淑芬
6,114098043,資管二,丁志豪
6,114098044,資管二,沈雅婷
6,114098045,資管二,程宗翰
6,114098046,資管二,康怡君
6,114098047,資管二,戴俊賢
6,114098048,資管二,阮美玲
7,113098001,資管三,錢建志
7,113098002,資管三,韓雅涵
7,113098003,資管三,孫冠廷
7,113098004,資管三,田怡婷
7,113098005,資管三,馬俊宏
7,113098006,資管三,龔佳穎
7,113098007,資管三,蕭宗翰
7,113098008,資管三,于雅玲
8,113098009,資管三,傅志偉
8,113098010,資管三,白美慧
8,113098011,資管三,段建良
8,113098012,資管三,薛雅琪
8,113098013,資管三,侯俊傑
8,113098014,資管三,雷淑芬
8,113098015,資管三,戚冠霖
8,113098016,資管三,廖怡萱
9,113098017,資管三,尹建宏
9,113098018,資管三,翁雅婷
9,113098019,資管三,竇子豪
9,113098020,資管三,闕佩蓉
9,113098021,資管三,岳俊賢
9,113098022,資管三,聶美玲
9,113098023,資管三,嚴冠廷
9,113098024,資管三,荊雅涵
10,113098025,資管四,卞建志
10,113098026,資管四,霍怡君
10,113098027,資管四,向志偉
10,113098028,資管四,褚美慧
10,113098029,資管四,滕俊傑
10,113098030,資管四,殷雅琳
10,113098031,資管四,喬建良
10,113098032,資管四,應佳穎
11,113098033,資管四,牛宗翰
11,113098034,資管四,諸雅玲
11,113098035,資管四,支志偉
11,113098036,資管四,苟美慧
11,113098037,資管四,習俊賢
11,113098038,資管四,桂雅涵
11,113098039,資管四,包冠廷
11,113098040,資管四,路怡婷
12,113098041,資管四,左建宏
12,113098042,資管四,池雅婷
12,113098043,資管四,申子豪
12,113098044,資管四,凌佩蓉
12,113098045,資管四,富俊賢
12,113098046,資管四,舒美玲
12,113098047,資管四,宮冠廷
12,113098048,資管四,恭雅涵
13,112098001,資管碩一,甄建志
13,112098002,資管碩一,文怡君
13,112098003,資管碩一,祝志偉
13,112098004,資管碩一,昔美慧
13,112098005,資管碩一,班俊傑
13,112098006,資管碩一,仁雅琳
13,112098007,資管碩一,禮建良
13,112098008,資管碩一,智佳穎
14,112098009,資管碩一,信宗翰
14,112098010,資管碩一,義雅玲
14,112098011,資管碩一,廉志偉
14,112098012,資管碩一,恥美慧
14,112098013,資管碩一,勤俊賢
14,112098014,資管碩一,儉雅涵
14,112098015,資管碩一,仲冠廷
14,112098016,資管碩一,尚怡婷
15,112098017,資管碩二,元建宏
15,112098018,資管碩二,亨雅婷
15,112098019,資管碩二,利子豪
15,112098020,資管碩二,貞佩蓉
15,112098021,資管碩二,泰俊賢
15,112098022,資管碩二,泉美玲
15,112098023,資管碩二,廣冠廷
15,112098024,資管碩二,居雅涵
